# PV Battery SOFC TANK energy_deficit Energy_loss System_cost CF
-1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.587280519731235017e+03 4.532654689113678046e+02 2.588000000000000000e+04 6.468920779596852663e+04
0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.225705213256817842e+03 2.366442624375615651e+03 3.116000000000000000e+04 6.454557819885226490e+04
1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.048263011405881116e+03 4.585935199577377716e+03 3.644000000000000000e+04 6.716394517108821310e+04
-1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.455746951887532759e+03 3.990198858200630525e+02 3.788000000000000000e+04 7.471620427831300185e+04
0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.048769786027113696e+03 2.270462858965272972e+03 4.316000000000000000e+04 7.389154679040670453e+04
1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.844816267473454673e+03 4.450194832871109611e+03 4.844000000000000000e+04 7.611224401210181531e+04
-1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.337567456045884228e+03 3.566275335525798482e+02 4.988000000000000000e+04 8.494351184068826842e+04
0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.888125938406383284e+03 2.234426681345906218e+03 5.516000000000000000e+04 8.348188907609574380e+04
1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.656562813911002877e+03 4.400771807038689076e+03 6.044000000000000000e+04 8.528844220866504475e+04
-1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 2.201164317423405009e+03 1.806003970246537165e+02 5.108000000000000000e+04 8.409746476135107514e+04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.658884978671028421e+03 1.814236633412724586e+03 5.636000000000000000e+04 8.124327468006542767e+04
1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.410983664238364781e+03 3.891067355542445057e+03 6.164000000000000000e+04 8.280475496357546945e+04
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 2.143469309641077871e+03 2.196351285181275159e+02 6.308000000000000000e+04 9.523203964461616124e+04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.587595525813864697e+03 1.889339794650510157e+03 6.836000000000000000e+04 9.217393288720797864e+04
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.336438452207008595e+03 3.984839663475925590e+03 7.364000000000000000e+04 9.368657678310511983e+04
-1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 2.078668501019319137e+03 2.150887048081764306e+02 7.508000000000000000e+04 1.062600275152897811e+05
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.522595345832067096e+03 1.955771803742824432e+03 8.036000000000000000e+04 1.031989301874810044e+05
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.256281402839895236e+03 4.073535942323711879e+03 8.564000000000000000e+04 1.044842210425984231e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 2.078174180720361164e+03 2.617754241607271979e+02 7.628000000000000000e+04 1.074526127108054206e+05
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.508295017294559102e+03 1.993082568589903985e+03 8.156000000000000000e+04 1.041844252594183781e+05
1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.235333819939191471e+03 4.112389410903788303e+03 8.684000000000000000e+04 1.053700072990878689e+05
-1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 2.052434902729796704e+03 2.778096769252770741e+02 8.828000000000000000e+04 1.190665235409469460e+05
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.476766033297417607e+03 2.040664048010712804e+03 9.356000000000000000e+04 1.157114904994612589e+05
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.212480327959232000e+03 4.182574623877344493e+03 9.884000000000000000e+04 1.170272049193884886e+05
-1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 2.010950775351296443e+03 2.736428746422736822e+02 1.002800000000000000e+05 1.304442616302694514e+05
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.441411964699000009e+03 2.101456940513892278e+03 1.055600000000000000e+05 1.271811794704850035e+05
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.169688228925244630e+03 4.266261551236089872e+03 1.108400000000000000e+05 1.283853234338786715e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.566508474370373278e+03 3.716310633551320848e+02 3.588000000000000000e+04 7.437762711555560236e+04
0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.204967914377102261e+03 2.265762051328002144e+03 4.116000000000000000e+04 7.423451871565653710e+04
1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.027526129385918239e+03 4.457180865216536404e+03 4.644000000000000000e+04 7.685289194078877335e+04
-1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.434966591290024098e+03 3.174787462942880438e+02 4.788000000000000000e+04 8.440449886935035465e+04
0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.028032487147399706e+03 2.174021976599427944e+03 5.316000000000000000e+04 8.358048730721099128e+04
1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.824078066375933304e+03 4.325142063328857148e+03 5.844000000000000000e+04 8.580117099563899683e+04
-1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 2.316796326210719599e+03 2.777137080504900268e+02 5.988000000000000000e+04 9.463194489316079125e+04
0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.867388639526668157e+03 2.137753642808893801e+03 6.516000000000000000e+04 9.317082959290003055e+04
1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.635818339620119104e+03 4.272811190192350296e+03 7.044000000000000000e+04 9.497727509430178907e+04
-1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.155404429050201998e+03 1.058505056257763215e+02 6.108000000000000000e+04 9.341106643575303315e+04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.619357743842966102e+03 1.738647804294265143e+03 6.636000000000000000e+04 9.065036615764448652e+04
1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.373320694109518854e+03 3.801333343988692377e+03 7.164000000000000000e+04 9.223981041164278577e+04
